date,nq_log_return,nq_log_range,nq_body_log,nq_upper_wick_log,nq_lower_wick_log,nq_vol_5d,nq_vol_10d,vxn_log_close,vxn_log_range,vxn_log_return,day_of_week,target
2005-05-31,-0.004637166674157811,0.007537147687824763,-0.004430622988213173,0.0004517097013039262,0.002654814998307664,0.006393347529638987,0.0058547980409116305,2.779440235075385,0.03894964078814356,0.061439728299527374,1,0.016762535732991246
2005-06-01,0.010876501886085244,0.016762535732991246,0.011460107200563563,0.005257058800578918,4.536973184876558e-05,0.007820356558355208,0.006211653023533034,2.76443052732717,0.07567713978243162,-0.015009707748215195,2,0.01019218374507691
2005-06-02,0.006047697517944428,0.01019218374507691,0.00994753071517529,0.0,0.0002446530299016203,0.0066439336492577555,0.005555549131098981,2.7047112870785104,0.08275638109052785,-0.05971924024865949,3,0.015501270969076053
2005-06-03,-0.015725683111339706,0.015501270969076053,-0.013505202283090156,0.0004215289150595325,0.0015745397709263642,0.010277762175798889,0.008086043991658298,2.7466296928572342,0.060902571834801744,0.041918405778723855,4,0.005815918983619106
2005-06-06,0.0005113935300382622,0.005815918983619106,0.00020067023926984007,0.002120375751218262,0.003494872993131004,0.010274009921112577,0.008026881952134196,2.756205228447844,0.037551368366632865,0.009575535590609974,0,0.01841771030114181
2005-06-07,-0.009199174443729419,0.01841771030114181,-0.010130578605104468,0.008254443437577308,3.268825846003409e-05,0.01090686211452331,0.008527588088340669,2.74791171253357,0.06872184308337514,-0.008293515914274074,1,0.009215140707485858
2005-06-08,-0.002249210671861235,0.009215140707485858,-0.006030162461194699,0.000858457026920334,0.002326521219370825,0.008497375774382697,0.008443579962848965,2.7600099521047476,0.04053755322933705,0.012098239571177505,2,0.014454977710287586
2005-06-09,0.0076814003220988525,0.014454977710287586,0.00868343998098986,0.0021348580101667736,0.003636679719130953,0.00900261833140119,0.00869333197894961,2.725890149208515,0.055658745455133385,-0.03411980289623262,3,0.014154337304770337
2005-06-10,-0.012050504933358575,0.014154337304770337,-0.010822037909565374,0.0,0.003332299395204963,0.0078630233742367,0.008727322300606946,2.76443052732717,0.04776457109922294,0.03854037811865485,4,0.012458216637396546
2005-06-13,0.005317774141145648,0.012458216637396546,0.0062452360674551954,0.006212980569941351,0.0,0.008662162771068179,0.008994366064095817,2.756205228447844,0.040030322652019557,-0.00822529887932566,0,0.008687379738908874
